Grid_Center_Lon,Grid_Center_Lat,Low_Count,Moderate_Count,High_Count,Total_Count,Low_%,Moderate_%,High_%,Dominant_Risk
72.79722483683572,19.363185949196286,3.792156862745098,0.0,0.0,3.792156862745098,100.0,0.0,0.0,Low
72.79947062504603,19.363185949196286,3.8039215686274512,22.490196078431367,0.0,26.29411764705882,14.466815809097692,85.5331841909023,0.0,Moderate
72.80171641325633,19.363185949196286,5.698039215686275,20.517647058823524,0.0,26.2156862745098,21.735228122662683,78.26477187733731,0.0,Moderate
72.80396220146662,19.363185949196286,12.670588235294115,13.533333333333328,0.0,26.203921568627443,48.35378629152949,51.64621370847051,0.0,Moderate
72.80620798967692,19.363185949196286,0.0,26.294117647058815,0.0,26.294117647058815,0.0,100.0,0.0,Moderate
72.80845377788722,19.363185949196286,0.0,26.215686274509796,0.0,26.215686274509796,0.0,100.0,0.0,Moderate
72.81069956609753,19.363185949196286,0.0,26.203921568627447,0.0,26.203921568627447,0.0,100.0,0.0,Moderate
72.81294535430781,19.363185949196286,0.0,26.294117647058815,0.0,26.294117647058815,0.0,100.0,0.0,Moderate
72.81519114251812,19.363185949196286,0.0,26.215686274509796,0.0,26.215686274509796,0.0,100.0,0.0,Moderate
72.81743693072842,19.363185949196286,1.584313725490196,24.619607843137246,0.0,26.203921568627443,6.046093983837176,93.95390601616282,0.0,Moderate
72.81968271893871,19.363185949196286,0.41568627450980394,25.878431372549013,0.0,26.294117647058815,1.5809097688292324,98.41909023117077,0.0,Moderate
72.82192850714901,19.363185949196286,0.0,19.59215686274509,6.623529411764705,26.215686274509792,0.0,74.73448017950636,25.26551982049365,Moderate
72.82417429535931,19.363185949196286,0.0,26.203921568627447,0.0,26.203921568627447,0.0,100.0,0.0,Moderate
72.82642008356962,19.363185949196286,0.0,26.294117647058815,0.0,26.294117647058815,0.0,100.0,0.0,Moderate
72.8286658717799,19.363185949196286,0.0,26.215686274509796,0.0,26.215686274509796,0.0,100.0,0.0,Moderate
72.8309116599902,19.363185949196286,0.0,24.717647058823523,1.4862745098039216,26.203921568627443,0.0,94.32804549536067,5.671954504639332,Moderate
72.83315744820051,19.363185949196286,0.0,8.28235294117647,18.011764705882353,26.294117647058822,0.0,31.498881431767334,68.50111856823267,High
72.83540323641081,19.363185949196286,0.0,4.266666666666667,21.94901960784313,26.215686274509796,0.0,16.275243081525808,83.72475691847418,High
72.8376490246211,19.363185949196286,0.0,8.52941176470588,17.674509803921563,26.203921568627443,0.0,32.550134690212516,67.44986530978748,High
72.8398948128314,19.363185949196286,0.0,26.294117647058815,0.0,26.294117647058815,0.0,100.0,0.0,Moderate
72.8421406010417,19.363185949196286,0.0,26.215686274509796,0.0,26.215686274509796,0.0,100.0,0.0,Moderate
72.84438638925201,19.363185949196286,0.0,26.203921568627447,0.0,26.203921568627447,0.0,100.0,0.0,Moderate
72.8466321774623,19.363185949196286,0.0,26.294117647058815,0.0,26.294117647058815,0.0,100.0,0.0,Moderate
72.8488779656726,19.363185949196286,0.0,9.333333333333332,0.0,9.333333333333332,0.0,100.0,0.0,Moderate
72.79722483683572,19.365431737406585,0.22352941176470587,9.666666666666668,0.0,9.890196078431373,2.260111022997621,97.73988897700238,0.0,Moderate
72.79947062504603,19.365431737406585,10.274509803921568,58.47843137254902,0.0,68.75294117647059,14.94410221309605,85.05589778690396,0.0,Moderate
72.80171641325633,19.365431737406585,3.0980392156862746,65.65490196078431,0.0,68.75294117647059,4.506046087154917,95.4939539128451,0.0,Moderate
72.80396220146662,19.365431737406585,4.517647058823528,64.20392156862745,0.0,68.72156862745098,6.573841588678381,93.42615841132161,0.0,Moderate
72.80620798967692,19.365431737406585,0.0,68.7529411764706,0.0,68.7529411764706,0.0,100.0,0.0,Moderate
72.80845377788722,19.365431737406585,0.0,68.75294117647059,0.0,68.75294117647059,0.0,100.0,0.0,Moderate
72.81069956609753,19.365431737406585,0.0,68.72156862745098,0.0,68.72156862745098,0.0,100.0,0.0,Moderate
72.81294535430781,19.365431737406585,0.0,68.7529411764706,0.0,68.7529411764706,0.0,100.0,0.0,Moderate
72.81519114251812,19.365431737406585,0.0,68.75294117647059,0.0,68.75294117647059,0.0,100.0,0.0,Moderate
72.81743693072842,19.365431737406585,0.0,68.72156862745098,0.0,68.72156862745098,0.0,100.0,0.0,Moderate
72.81968271893871,19.365431737406585,0.0,68.7529411764706,0.0,68.7529411764706,0.0,100.0,0.0,Moderate
72.82192850714901,19.365431737406585,8.086274509803921,50.29019607843138,10.376470588235293,68.75294117647059,11.761350673054986,73.14624686287932,15.092402464065707,Moderate
72.82417429535931,19.365431737406585,6.149019607843137,62.57254901960784,0.0,68.72156862745098,8.947728829034467,91.05227117096554,0.0,Moderate
72.82642008356962,19.365431737406585,0.0,68.7529411764706,0.0,68.7529411764706,0.0,100.0,0.0,Moderate
72.8286658717799,19.365431737406585,0.0,68.75294117647059,0.0,68.75294117647059,0.0,100.0,0.0,Moderate
72.8309116599902,19.365431737406585,0.0,61.03921568627451,7.68235294117647,68.72156862745098,0.0,88.82104542341932,11.178954576580688,Moderate
72.83315744820051,19.365431737406585,0.0,31.058823529411757,37.69411764705882,68.75294117647057,0.0,45.17453798767967,54.82546201232034,High
72.83540323641081,19.365431737406585,0.0,28.509803921568626,40.24313725490195,68.75294117647059,0.0,41.46703171343829,58.532968286561704,High
72.8376490246211,19.365431737406585,0.0,42.61176470588236,26.109803921568624,68.72156862745098,0.0,62.006391234877896,37.99360876512211,Moderate
